Country;Year;Sex;Liters
Paraguay;2000;Male;9,82
Paraguay;2001;Male;9,82
Paraguay;2002;Male;9,16
Paraguay;2003;Male;9,01
Paraguay;2004;Male;9,49
Paraguay;2005;Male;10,43
Paraguay;2006;Male;11,00
Paraguay;2007;Male;11,92
Paraguay;2008;Male;12,06
Paraguay;2009;Male;12,27
Paraguay;2010;Male;11,85
Paraguay;2011;Male;11,74
Paraguay;2012;Male;11,36
Paraguay;2013;Male;10,92
Paraguay;2014;Male;10,58
Paraguay;2015;Male;10,43
Paraguay;2016;Male;10,54
Paraguay;2017;Male;10,80
Paraguay;2018;Male;10,96
Paraguay;2019;Male;10,96
Paraguay;2000;Female;2,63
Paraguay;2001;Female;2,63
Paraguay;2002;Female;2,45
Paraguay;2003;Female;2,41
Paraguay;2004;Female;2,54
Paraguay;2005;Female;2,79
Paraguay;2006;Female;2,95
Paraguay;2007;Female;3,21
Paraguay;2008;Female;3,25
Paraguay;2009;Female;3,31
Paraguay;2010;Female;3,19
Paraguay;2011;Female;3,16
Paraguay;2012;Female;3,06
Paraguay;2013;Female;2,94
Paraguay;2014;Female;2,85
Paraguay;2015;Female;2,81
Paraguay;2016;Female;2,83
Paraguay;2017;Female;2,90
Paraguay;2018;Female;2,94
Paraguay;2019;Female;2,94
Paraguay;2000;Both sexes;6,27
Paraguay;2001;Both sexes;6,27
Paraguay;2002;Both sexes;5,84
Paraguay;2003;Both sexes;5,74
Paraguay;2004;Both sexes;6,05
Paraguay;2005;Both sexes;6,66
Paraguay;2006;Both sexes;7,03
Paraguay;2007;Both sexes;7,62
Paraguay;2008;Both sexes;7,71
Paraguay;2009;Both sexes;7,85
Paraguay;2010;Both sexes;7,59
Paraguay;2011;Both sexes;7,52
Paraguay;2012;Both sexes;7,28
Paraguay;2013;Both sexes;7,00
Paraguay;2014;Both sexes;6,78
Paraguay;2015;Both sexes;6,68
Paraguay;2016;Both sexes;6,74
Paraguay;2017;Both sexes;6,91
Paraguay;2018;Both sexes;7,01
Paraguay;2019;Both sexes;7,01
United States of America;2000;Male;14,66
United States of America;2001;Male;14,66
United States of America;2002;Male;14,68
United States of America;2003;Male;14,71
United States of America;2004;Male;14,74
United States of America;2005;Male;14,77
United States of America;2006;Male;14,82
United States of America;2007;Male;14,84
United States of America;2008;Male;14,79
United States of America;2009;Male;14,61
United States of America;2010;Male;14,54
United States of America;2011;Male;14,68
United States of America;2012;Male;14,91
United States of America;2013;Male;15,07
United States of America;2014;Male;15,13
United States of America;2015;Male;15,24
United States of America;2016;Male;15,33
United States of America;2017;Male;15,41
United States of America;2018;Male;15,44
United States of America;2019;Male;15,44
United States of America;2000;Female;4,39
United States of America;2001;Female;4,39
United States of America;2002;Female;4,40
United States of America;2003;Female;4,43
United States of America;2004;Female;4,45
United States of America;2005;Female;4,47
United States of America;2006;Female;4,50
United States of America;2007;Female;4,50
United States of America;2008;Female;4,47
United States of America;2009;Female;4,41
United States of America;2010;Female;4,38
United States of America;2011;Female;4,43
United States of America;2012;Female;4,51
United States of America;2013;Female;4,56
United States of America;2014;Female;4,58
United States of America;2015;Female;4,62
United States of America;2016;Female;4,65
United States of America;2017;Female;4,68
United States of America;2018;Female;4,69
United States of America;2019;Female;4,69
United States of America;2000;Both sexes;9,40
United States of America;2001;Both sexes;9,40
United States of America;2002;Both sexes;9,42
United States of America;2003;Both sexes;9,45
United States of America;2004;Both sexes;9,47
United States of America;2005;Both sexes;9,50
United States of America;2006;Both sexes;9,54
United States of America;2007;Both sexes;9,56
United States of America;2008;Both sexes;9,52
United States of America;2009;Both sexes;9,40
United States of America;2010;Both sexes;9,36
United States of America;2011;Both sexes;9,45
United States of America;2012;Both sexes;9,60
United States of America;2013;Both sexes;9,71
United States of America;2014;Both sexes;9,76
United States of America;2015;Both sexes;9,83
United States of America;2016;Both sexes;9,89
United States of America;2017;Both sexes;9,95
United States of America;2018;Both sexes;9,97
United States of America;2019;Both sexes;9,97
